stock,avg_return,volatility,avg_volume,risk_score,risk_cluster,risk_level
0P00009J3K,0.0009079454039391,0.0108548240282114,0.0,2.465490871186091,0,Low Risk
0P0000YWL0,0.0008924248936648,0.009143150542628,0.0,2.32365549860363,0,Low Risk
20MICRONS,0.0016080984281966,0.0331439421732057,182613.489465154,3.015730967878802,0,Medium Risk
21STCENMGM,0.000963600260339,0.0156555073050798,7113.078753076292,2.7548926057997503,0,Low Risk
360ONE,0.0006049508278573,0.0293202380549774,333390.2701722575,3.751663885120869,2,High Risk
3IINFOLTD,0.0084730279983613,0.2594883864277846,938687.6944894652,3.4425951169965807,0,Medium Risk
3MINDIA,0.0004425498924346,0.0196557183300415,5313.5470016207455,3.617072099346173,0,High Risk
3PLAND,0.001531582792732,0.0356251701238182,15397.24525043178,3.1282826325938107,0,Medium Risk
5PAISA,0.001288323504284,0.0341883421655088,54125.405820533546,3.243593057059097,0,Medium Risk
63MOONS,0.0020265690132751,0.0360579830692184,197386.6564019449,2.887921148964633,0,Low Risk
A2ZINFRA,0.000560543075036,0.0368833893794591,475565.3665048544,4.04020472073398,2,High Risk
AAATECH,0.0019126275988908,0.0369712618084642,49610.30129124821,2.963707337188209,0,Low Risk
AAKASH,0.0011747159613458,0.0437517588587483,414796.7171799028,3.564527267730673,0,High Risk
AAREYDRUGS,0.0005888297871395,0.0326299046404231,83804.27044025157,3.87888091603879,2,High Risk
AARON,0.0021202650416445,0.0355575917212195,11484.426256077795,2.834096554167317,0,Low Risk
AARTIDRUGS,0.0007067092205463,0.0343477390746557,424328.6726094003,3.774543159181056,2,High Risk
AARTIIND,-7.927127264231093e-05,0.0296554605002837,928851.0380875204,5.114528341299279,2,High Risk
AARTIPHARM,0.0023512607330344,0.0278958400483933,260882.63197026023,2.51609850968001,0,Low Risk
AARTISURF,0.0008801073346515,0.032073122494593,32348.7923681257,3.518212475227672,0,High Risk
AARVEEDEN,0.0009477717724319,0.0371461040777536,43405.57881972514,3.5960093969166635,0,High Risk
AARVI,0.0015173116408779,0.0348968742761883,27584.786871961103,3.1169355505026366,0,Medium Risk
AAVAS,0.0005088758310981,0.0241182042875293,129039.71799027552,3.704039926030094,2,High Risk
ABAN,0.0007168234506519,0.0354639513589995,216315.58367016976,3.7936202835511694,2,High Risk
ABB,0.0014916419740204,0.020523318959503,234082.44246353325,2.6314881733640165,0,Low Risk
ABBOTINDIA,0.0012406182643652,0.0166245646640907,15101.487034035656,2.5953047041330337,0,Low Risk
ABCAPITAL,0.0008291468776638,0.0258548638766699,3773442.105901376,3.3612935455180364,0,Medium Risk
ABCOTS-SM,0.0102679853660349,0.1027269351389207,32432.59752321981,2.389504742420704,0,Low Risk
ABFRL,0.0002953400471333,0.0243693226204651,2542790.5270816493,4.137426750216932,2,High Risk
ABMINTLLTD,-0.0003702674554373,0.0366400706009416,1558.2961082910322,4.368349276613389,2,High Risk
ABSLAMC,-0.0003712488816936,0.0147368368794962,169170.57094594595,3.4741961576724525,0,High Risk
ABSLBANETF,-0.0003144016381032,0.0342699595344519,196861.581920904,4.4272085337859215,2,High Risk
ABSLNN50ET,0.0001812361025408,0.0359475594266307,10040.144659377627,4.858414999103046,2,High Risk
ACC,0.0006280810454085,0.0194728950736488,823490.5348460291,3.323073836836417,0,Medium Risk
ACCELYA,0.0008199934460713,0.0234741381847434,35734.79092382496,3.277731329238822,0,Medium Risk
ACCURACY,0.0003870923449928,0.043736790477545,436038.9635332253,4.508566532273155,2,High Risk
